text,intent
power yoga,strength_yoga
yoga for muscle building,strength_yoga
strength training yoga,strength_yoga
strong body yoga,strength_yoga
yoga for core strength,strength_yoga
arm strength yoga,strength_yoga
leg strength yoga,strength_yoga
strength yoga poses,strength_yoga
body strength yoga,strength_yoga

meditation,meditation_mindfulness
yoga meditation,meditation_mindfulness
mindfulness yoga,meditation_mindfulness
meditation for peace,meditation_mindfulness
guided meditation yoga,meditation_mindfulness
mental peace yoga,meditation_mindfulness
mind calming meditation,meditation_mindfulness
yoga for mindfulness,meditation_mindfulness
meditation practice yoga,meditation_mindfulness
relaxation meditation yoga,meditation_mindfulness
focus meditation yoga,meditation_mindfulness
breathing meditation yoga,meditation_mindfulness

benefits of yoga,yoga_benefits
yoga benefits,yoga_benefits
why yoga is good,yoga_benefits
importance of yoga,yoga_benefits
advantages of yoga,yoga_benefits
health benefits of yoga,yoga_benefits
mental benefits of yoga,yoga_benefits
physical benefits of yoga,yoga_benefits
yoga for health benefits,yoga_benefits
yoga daily benefits,yoga_benefits

pose correction yoga,pose_correction
correct yoga posture,pose_correction
yoga pose correction,pose_correction
improve yoga posture,pose_correction
wrong yoga posture,pose_correction
correct my yoga pose,pose_correction
yoga alignment help,pose_correction
pose accuracy yoga,pose_correction
how to correct yoga pose,pose_correction
safe yoga posture,pose_correction

women yoga,women_health_yoga
women health yoga,women_health_yoga
yoga for women,women_health_yoga
female yoga health,women_health_yoga
yoga during periods,women_health_yoga
menstrual yoga,women_health_yoga
yoga for hormonal balance,women_health_yoga
women wellness yoga,women_health_yoga
yoga for girls,women_health_yoga
women body yoga,women_health_yoga

what is blockchain,fallback
java code,fallback
python program,fallback
movie suggestions,fallback
weather today,fallback
tell me a joke,fallback
news today,fallback
cricket score,fallback
stock market,fallback
who is virat kohli,fallback
ai definition,fallback
java tutorial,fallback
python loops,fallback
random question,fallback
technology news,fallback
